C_size,A_size,B_size,difficulty,#distinguished_points,#distinguished_points_log2,#collisions,#updates,time(sec)
1, 1, 1, 2, 255, 7.994353, 141, 0, 0.00166416
1, 1, 1, 2, 27, 4.754888, 16, 0, 4.88758e-05
1, 1, 1, 2, 1635, 10.675075, 1008, 5, 0.00544357
1, 1, 1, 2, 2172, 11.084808, 1545, 7, 0.010447
1, 1, 1, 2, 1043, 10.026523, 683, 3, 0.00722218
1, 1, 1, 2, 2315, 11.176796, 1475, 8, 0.0114882
1, 1, 1, 2, 366, 8.515700, 271, 1, 0.00165915
1, 1, 1, 2, 4182, 12.029977, 2731, 15, 0.0366752
1, 1, 1, 2, 5131, 12.325024, 3362, 18, 0.0351212
1, 1, 1, 2, 6323, 12.626394, 3933, 22, 0.0463097
1, 1, 1, 2, 2644, 11.368506, 1824, 8, 0.00883317
1, 1, 1, 2, 4407, 12.105581, 2951, 15, 0.0200593
1, 1, 1, 2, 3840, 11.906891, 2437, 13, 0.0197854
1, 1, 1, 2, 1466, 10.517669, 857, 5, 0.0117118
1, 1, 1, 2, 6601, 12.688469, 4429, 23, 0.0459692
1, 1, 1, 2, 4720, 12.204571, 3157, 16, 0.0211179
1, 1, 1, 2, 830, 9.696968, 545, 2, 0.00214505
1, 1, 1, 2, 926, 9.854868, 646, 3, 0.0039413
1, 1, 1, 2, 1228, 10.262095, 769, 4, 0.00829697
1, 1, 1, 3, 2307, 11.171802, 1869, 9, 0.070713
1, 1, 1, 3, 4306, 12.072133, 3595, 17, 0.129079
1, 1, 1, 3, 2467, 11.268542, 2010, 9, 0.0765717
1, 1, 1, 3, 601, 9.231221, 479, 2, 0.00866652
1, 1, 1, 3, 1084, 10.082149, 891, 4, 0.0281074
1, 1, 1, 3, 1162, 10.182394, 967, 4, 0.0348873
1, 1, 1, 3, 3677, 11.844313, 3051, 15, 0.121843
1, 1, 1, 3, 1322, 10.368506, 1080, 6, 0.0865014
1, 1, 1, 3, 1196, 10.224002, 1012, 5, 0.0645354
1, 1, 1, 3, 5365, 12.389362, 4501, 21, 0.144583
1, 1, 1, 3, 3893, 11.926667, 3343, 14, 0.0583844
1, 1, 1, 3, 67, 6.066089, 57, 0, 0.000207424
1, 1, 1, 3, 33, 5.044394, 20, 0, 0.00183249
1, 1, 1, 3, 1346, 10.394463, 1090, 5, 0.0292261
1, 1, 1, 3, 836, 9.707359, 659, 3, 0.0265377
1, 1, 1, 3, 88, 6.459432, 69, 0, 0.000950813
1, 1, 1, 3, 4593, 12.165221, 3931, 18, 0.129796
1, 1, 1, 3, 1780, 10.797662, 1482, 6, 0.0372238
1, 1, 1, 3, 6523, 12.671320, 5590, 26, 0.197938
1, 1, 1, 3, 62, 5.954196, 46, 0, 0.00488162
1, 1, 1, 3, 5136, 12.326429, 4406, 19, 0.0914595
1, 1, 1, 3, 6859, 12.743783, 5807, 27, 0.186225
1, 1, 1, 3, 786, 9.618386, 723, 2, 0.00939465
1, 1, 1, 3, 1944, 10.924813, 1653, 7, 0.029501
1, 1, 1, 3, 3783, 11.885315, 3127, 14, 0.0849266
1, 1, 1, 3, 2606, 11.347621, 2081, 11, 0.108904
1, 1, 1, 3, 1696, 10.727920, 1529, 6, 0.03741
1, 1, 1, 3, 6532, 12.673309, 5462, 25, 0.179653
1, 1, 1, 3, 4765, 12.218260, 3976, 18, 0.09851
1, 1, 1, 3, 1611, 10.653741, 1338, 6, 0.0356483
